RCT,Paper,Experiment_ID,Publication,Country,Region,Site,Latitude,Longitude,NDVI_paper,GCC,GC,MAT,MAP,Biomes,Species,Sand_paper,Silt_paper,Clay_paper,BD,Magnitude_W,Magnitude_Other,Magnitude_O_Note,Start_yr,Duration,Mid_yr,SWC,SWC_matric,pH,SOC_paper,TN,CN,TP,MBN,MBN_unit,MBC,MBC_unit,Convertor,Cmic,Data_source,Comments,Collecter,Checker,tmean,phh2o,soc,prec,land_cover,clay,sand,nitrogen,elev,ndvi
106,58,,Gao et al. 2018,China,Shanghai,Congming,31.5,121.75,NA,C,W,15.3,1171.1,Wetland,,NA,NA,NA,NA,1.11,,,2008,7,2012,35.23,Not reported,NA,0.548666667,0.128666667,NA,NA,NA,,0.209,g/kg,83.33333333,17.41666667,Figure 3,Contact author for SE or SD,JJ,XR,2891.25,76.52,54.8666667,1144.1,G,242.96,210.76,128.666667,7,0.185492307
107,58,,Gao et al. 2018,China,Shanghai,Congming,31.5,121.75,NA,C,W,15.3,1171.1,Wetland,,NA,NA,NA,NA,1.11,,,2008,7,2012,35.23,Not reported,NA,0.548666667,0.128666667,NA,NA,NA,,0.119,g/kg,83.33333333,9.916666667,Figure 3,,JJ,XR,2891.25,76.52,54.8666667,1144.1,G,242.96,210.76,128.666667,7,0.185492307
108,59,,Bai et al. 2020,China,Fujian,Sanming,26.3,117.6,NA,C,W,19.1,1670,Forest,Fir,NA,NA,NA,NA,5,,,2013,5,2016,19,,4.4,1.294,0.107,NA,NA,NA,,0.319,g/kg,83.33333333,26.58333333,Figure 4,SE,JJ,XR,2891.083333,44,129.4,2563.2,FC,304.55,378.58,107,300,0.199286684
109,59,,Bai et al. 2020,China,Fujian,Sanming,26.3,117.6,NA,C,W,19.1,1670,Forest,Fir,NA,NA,NA,NA,5,,,2013,5,2016,19.7,,4.5,0.915,0.085,NA,NA,NA,,0.267,g/kg,83.33333333,22.25,Figure 4,SE,JJ,XR,2891.083333,45,91.5,2563.2,FC,304.55,378.58,85,300,0.199286684
110,60,,Zhao et al. 2020,China,Guangdong,Dinghushan,23.15,112.5,NA,C,W,21,1927.3,Forest,Castanopsis chinensis,NA,NA,NA,NA,1.24,,,2016,2,2017,NA,,4.13,1.292,0.117,7.35,0.018,34.41,mg/kg,0.23369,g/kg,83.33333333,19.47416667,Figure 2,SE,JJ,XR,2943.5,41.3,129.2,1553.9,FT,238.88,454.75,117,30,0.199286684
111,60,,Zhao et al. 2020,China,Guangdong,Dinghushan,23.15,112.5,NA,C,W,21,1927.3,Forest,Castanopsis chinensis,NA,NA,NA,NA,1.17,,,2016,2,2017,NA,,4.11,1.18,0.117,6.27,0.018,24.06,mg/kg,0.14987,g/kg,83.33333333,12.48916667,Figure 2,SE,JJ,XR,2943.5,41.1,118,1553.9,FT,238.88,454.75,117,30,0.199286684
113,62,,Ma et al. 2019,China,Sichuan,A'Ba,32.98,103.67,NA,C,W,4.8,693,Shrubland,Salix oritrepha,NA,NA,NA,NA,1.3,,,2015,1,2016,NA,,NA,NA,NA,NA,NA,116.12,mg/kg,0.456,g/kg,83.33333333,38,Figure 2,Contact author for SE or SD,JJ,XR,2736.916667,62.02,604.37,715.2,S,204.77,362.34,535.24,3300,0.199286684
114,63,,Zhang et al. 2012,China,Hebei,Shijiazhuang,38.07,114.35,NA,C,W,13.3,540.5,Agriculture,Wheat,NA,NA,NA,NA,1.2,,,2008,1,2009,NA,,7.61,1.81,0.2,NA,NA,17.5,mg/kg,0.14717,g/kg,83.33333333,12.26416667,Table 4-5,SE,JJ,XR,2869.75,76.1,181,612.1,C,199.32,357.55,200,104,0.229172915
115,63,,Zhang et al. 2012,China,Jiangsu,Xuzhou,34.85,116.65,NA,C,W,14.6,630.4,Agriculture,Wheat,NA,NA,NA,NA,0.8,,,2008,1,2009,NA,,7.33,2,0.22,NA,NA,42.04,mg/kg,0.1828,g/kg,83.33333333,15.23333333,Table 4-5,SE,JJ,XR,2883.25,73.3,200,782.6,C,321.23,154.81,220,33,0.229172915
116,63,,Zhang et al. 2012,China,Henan,Xuchang,33.93,114.27,NA,C,W,14.3,640.9,Agriculture,Wheat,NA,NA,NA,NA,1,,,2008,1,2009,NA,,7.67,1.81,0.22,NA,NA,34.8,mg/kg,0.233,g/kg,83.33333333,19.41666667,Table 4-5,SE,JJ,XR,2886.916667,76.7,181,854.4,C,245.35,231.73,220,56,0.229172915
117,63,,Zhang et al. 2012,China,Jiangsu,Zhenjiang,31.9,119.5,NA,C,W,16.2,1058.4,Agriculture,Wheat,NA,NA,NA,NA,0.7,,,2008,1,2009,NA,,7.21,2.83,0.31,NA,NA,19.59,mg/kg,0.253,g/kg,83.33333333,21.08333333,Table 4-5,SE,JJ,XR,2896.916667,72.1,283,1212.1,C,355.04,185.4,310,6,0.229172915
118,63,,Zhang et al. 2012,China,Hebei,Shijiazhuang,38.07,114.35,NA,C,W,13.3,540.5,Agriculture,Wheat,NA,NA,NA,NA,1.2,,,2008,2,2009,NA,,7.61,1.1,0.2,NA,NA,28.02,mg/kg,0.1425,g/kg,83.33333333,11.875,Table 4-5,SE,JJ,XR,2869.75,76.1,110,612.1,C,199.32,357.55,200,104,0.229172915
119,63,,Zhang et al. 2012,China,Jiangsu,Xuzhou,34.85,116.65,NA,C,W,14.6,630.4,Agriculture,Wheat,NA,NA,NA,NA,0.8,,,2008,2,2009,NA,,7.33,0.5,0.22,NA,NA,32.45,mg/kg,0.125,g/kg,83.33333333,10.41666667,Table 4-5,SE,JJ,XR,2883.25,73.3,50,782.6,C,321.23,154.81,220,33,0.229172915
