"","gID","Year","latitude","longitude","Reference","land_cover","Cmic","tmean","prec","clay","nitrogen","phh2o","sand","soc","ndvi","elev","tmean_c"
"461","11051",1995,52.78,-6.81,"Nunan, N., Morgan, M.A., Herlihy, M., 1998, Ultraviolet absorbance (280nm) of compounds released from soil during chloroform fumigation as an estimate of the microbial biomass, Soil Biology and Biochemistry, 30(12), 1599-1603.","C",11,2838.67165622601,769.057491816334,205.639962082479,397.116374975129,63.5511292979992,459.248959745933,511.54254994683,0.177756831168423,80.4337400030265,10.7171656226008
"462","11054",1995,52.85,-6.9,"Nunan, N., Morgan, M.A., Herlihy, M., 1998, Ultraviolet absorbance (280nm) of compounds released from soil during chloroform fumigation as an estimate of the microbial biomass, Soil Biology and Biochemistry, 30(12), 1599-1603.","C",8.91666666666667,2839.11676374044,782.740422615898,217.696514287213,405.382044314117,65.2862032568773,427.854231520912,577.400621933757,0.170262104849175,65.9676513370532,10.7616763740437
"463","10578",1993,4.5,-71.32,"Oberson, A., Friesen, D.K., Rao, I.M., Buhler, S., Frossard, E., 2001, Phosphorus transformations in an Oxisol under contrasting land-use systems: the role of the soil microbial biomass, Plant and Soil, 237, 197-210.","C",6.01666666666667,2978.37676004799,1968.14426013202,283.447449289098,256.751545346141,51.5389222514751,345.871790334395,334.374693373242,0.177219748989393,169.800227524218,24.6876760047987
"464","12065",1993,4.5,-71.32,"Oberson, A., Friesen, D.K., Rao, I.M., Buhler, S., Frossard, E., 2001, Phosphorus transformations in an Oxisol under contrasting land-use systems: the role of the soil microbial biomass, Plant and Soil, 237, 197-210.","G",13.2208333333333,2979.03683547924,1859.42445765513,286.886759034282,242.115542651049,51.3635534594128,364.384045353203,296.983093061705,0.179972369036803,157.045020508749,24.7536835479239
"465","11410",1987,52.02,-0.62,"Ocio, J.A., Brookes, P.C., 1990, An evaluation of methods for measuring the microbial biomass in sols following recent additions of wheat straw and the characteriszation of the biomass that develops, Soil Biology and Biochemistry, 22(5), 685-694.","C",12.9166666666667,2821.76346790414,664.701376268904,355.282088041052,295.260141357764,68.3680119545117,267.666895210235,336.464938655044,0.111774033254623,90.9685232933699,9.02634679041375
"466","11411",1987,52.42,-1.97,"Ocio, J.A., Brookes, P.C., 1990, An evaluation of methods for measuring the microbial biomass in sols following recent additions of wheat straw and the characteriszation of the biomass that develops, Soil Biology and Biochemistry, 22(5), 685-694.","C",51.5833333333333,2814.74327906131,703.387818639759,230.833651795031,435.495338259648,58.1601504083525,341.832524545876,618.216160350668,0.123162151893697,186.307998177399,8.3243279061308
"467","11991",1998,-36.61,140.35,"Pankhurst, C.E., Yu, S., Hawke, B.G., Harch, B.D. 2001, Capacity of fatty acid profiles and substrate utilization patterns to describe differences in soil microbial communities associated with increased salinity or alkalinity at three locations in South Australia, Biology and Fertility of Soils, 33, 204-217.","G",65.6666666666667,2876.14907086453,425.219865337477,123.908739076455,126.675740994126,69.1416959922611,811.611831819247,393.799676177812,0.257765629635915,34.5041089178341,14.4649070864527
"468","11989",1998,-36.47,140.33,"Pankhurst, C.E., Yu, S., Hawke, B.G., Harch, B.D. 2001, Capacity of fatty acid profiles and substrate utilization patterns to describe differences in soil microbial communities associated with increased salinity or alkalinity at three locations in South Australia, Biology and Fertility of Soils, 33, 204-217.","G",58.2083333333333,2877.23730779612,431.797438798089,113.951089048754,144.35490514287,70.4968127304408,826.349272285482,376.434679601059,0.273652710291404,34.638475132056,14.5737307796115
"469","12439",1998,-35.89,140.05,"Pankhurst, C.E., Yu, S., Hawke, B.G., Harch, B.D. 2001, Capacity of fatty acid profiles and substrate utilization patterns to describe differences in soil microbial communities associated with increased salinity or alkalinity at three locations in South Australia, Biology and Fertility of Soils, 33, 204-217.","G",62.6666666666667,2883.22707419495,423.48720672271,173.677930445388,193.420449407479,75.184041157748,719.435991720556,256.217569105544,0.224366108050128,19.6881116926781,15.1727074194948
"470","12872",1997,37.98,-1.12,"Pascual, J.A., Garcia, A., Hernandez, T., Moreno, J.L., Ros, M., 2000, Soil microbial activity as a biomarker of degradation and remediation processes, Soil Biology and Biochemistry, 32, 1877-1883.","FB",20.8333333333333,2909.50953301019,363.391474974352,270.864581514,177.880565095007,71.138059534562,295.949731834044,273.326773364706,0.184081055756429,312.654984153142,17.800953301019
"471","11412",NA,51.82,-0.35,"Patra, D.D., Brookes, P.C., Coleman, K., Jenkinson, D.S., 1990, Seasonal changes of soil microbial biomass in an arable and a grassland soil which have been under uniform management for many years, Soil Biology and Biochemistry, 22(6), 739-742.","C",22.0833333333333,2823.91030270072,669.870661874578,311.983728341103,442.080870583184,60.6336379558274,305.117309973724,593.530116458039,0.12748737432514,121.384412513997,9.24103027007232
"472","12214",NA,51.82,-0.35,"Patra, D.D., Brookes, P.C., Coleman, K., Jenkinson, D.S., 1990, Seasonal changes of soil microbial biomass in an arable and a grassland soil which have been under uniform management for many years, Soil Biology and Biochemistry, 22(6), 739-742.","G",43.625,2824.14890277341,678.344436027262,312.410326832854,461.1392791586,59.7701908477533,303.370042948196,642.495923427477,0.128342353893652,118.034953983122,9.26489027734056
"473","13461",2016,-31.5652777777778,-53.725,"Patricia Dorr de Quadros, Kateryna Zhalnina, Austin G. Davis-Richardson, Jennifer C. Drewa, Fátima B. Menezesc, Flávio A.de O. Camargod, Eric W. Triplett , 2016,Coal mining practices reduce the microbial biomass, richness and diversity of soil,Applied soil Ecology,98,195-203","FT",13.25,2905.52642416448,1523.56889375728,267.509767653741,188.951305163503,53.3951812449503,412.791959257889,270.390980162105,0.259873798562185,211.187761366828,17.4026424164476
"474","13462",2016,-31.5652777777778,-53.725,"Patricia Dorr de Quadros, Kateryna Zhalnina, Austin G. Davis-Richardson, Jennifer C. Drewa, Fátima B. Menezesc, Flávio A.de O. Camargod, Eric W. Triplett , 2016,Coal mining practices reduce the microbial biomass, richness and diversity of soil,Applied soil Ecology,98,195-203","G",9.33333333333333,2905.35501792279,1550.13112187948,276.988383156523,179.760331772509,54.937738017408,364.721154040663,265.041360437377,0.265018280743479,215.662830514751,17.3855017922785
"475","10035",1997,69.75,27.02,"Pennanen, Taina., Perkiomaki, Jonna., Kiikkila, Oili., Vanhala, Pekka., Neuvonen, Seppo., Fritze, Hannu., 1998, Prolonged, simulated acid rain and heavy metal deposition: separated and combined effects on forest soil microbial community structure, FEMS microbiology ecology, 27, 291-300.","FC",966.666666666667,2735.34503564509,442.918601185817,55.6196831894363,458.643300022648,51.8944122215909,595.352945548829,1193.54585205334,0.172903684167913,163.139203745269,0.384503564509259
"476","13560",2009,42.25,-76.6666666666667,"Peter M. Groffman, Ruth E. Sherman b, Patrick J. Bohlen d, John C. Maerz , Timothy J. Fahey , Melany C. Fisk , Joseph B. Yavitt, 2015,Earthworms increase soil microbial biomass carrying capacity and  nitrogen retention in northern hardwood forests,Soil Biology & Biochemistry,87,51-58","FB",0.679012345679012,2812.81478313579,707.731814679894,217.741636045509,264.610387943024,52.2255263252916,276.820170894837,377.063683506228,0.200355486142406,469.818735987535,8.13147831357895
