"scenario","slope","slope_se","slope_p","run_number","outslope"
"fixed_no_var",-0.0108161067906188,0.0118809899604606,0.373468786829601,67,-2.94823111605915
"fixed_no_var",-0.0298136314518964,0.0207302159832936,0.165849795314682,68,-2.47491261840836
"fixed_no_var",-0.0106146535148503,0.0153260113060551,0.496530300099879,69,-3.0393782382957
"fixed_no_var",-0.0507745307298238,0.0187838958832761,0.0136851700700178,7,-2.457191495
"fixed_no_var",-0.0407159179030295,0.0194913486157643,0.0497056508632407,70,-3.10022156882145
"fixed_no_var",-0.0513496276484814,0.0269149436171065,0.0708726715630888,71,-2.23577113279134
"fixed_no_var",-0.075441125808373,0.0337464540673806,0.0369457655512732,72,-2.12648199185581
"fixed_no_var",-0.0409181378294814,0.0176567990025506,0.0311990422277781,73,-2.76535117018111
"fixed_no_var",-0.0766156557092759,0.0419489157487213,0.0827555966105433,74,-2.09854802799912
"fixed_no_var",-0.0317226662145587,0.0170081471423134,0.0769015561304818,75,-2.78785165975145
"fixed_no_var",-0.0190356762837,0.0189144584748713,0.326240760538439,76,-2.96139903221175
"fixed_no_var",-0.0627917442262587,0.022291197127109,0.0106514881866325,77,-3.42682583856043
"fixed_no_var",-0.0873157662435928,0.0330696605643039,0.0156919260503974,78,-2.50255642135626
"fixed_no_var",-0.071667210735327,0.0252094390983308,0.0100549524368185,79,-2.73293883550594
"fixed_no_var",-0.0507614479475154,0.0257109643399758,0.0623178024548116,8,-2.423879268
"fixed_no_var",-0.0157257145405924,0.0208726875025791,0.459980897765989,80,-2.95451712124037
"fixed_no_var",-0.0219923958031979,0.0122953376207377,0.0888258640499066,81,-3.10202547596153
"fixed_no_var",-0.0158848584144892,0.0122746245800661,0.210368114491971,82,-3.44193094148858
"fixed_no_var",-0.0723798607786269,0.030832787548732,0.0293037210657197,83,-3.43722648323517
"fixed_no_var",0.00224273830022748,0.00963395787789073,0.818286328800754,84,-3.23485443853743
"fixed_no_var",-0.0600443928643758,0.0217789487894027,0.0121577925724901,85,-2.63083598405273
"fixed_no_var",-0.0355282591864017,0.0215273808624109,0.11448340041175,86,-3.17280258056673
"fixed_no_var",-0.0514997562618821,0.0185220559873687,0.0115449455972723,87,-3.59594493888864
"fixed_no_var",-0.0455235528984284,0.0165172745979401,0.0121812238324997,88,-2.31300941505615
"fixed_no_var",-0.0245500234679136,0.0154106032027597,0.126828837709101,89,-3.35872243940357
"fixed_no_var",-0.0530316838492554,0.0160796053996431,0.00359224853615667,9,-3.337539097
"fixed_no_var",-0.0340838347407096,0.019490411161875,0.095667371287427,90,-3.14831698586066
"fixed_no_var",-0.0350793150573694,0.0139073671495305,0.0202423589318017,91,-2.45915348878971
"fixed_no_var",-0.0488232638557081,0.0200466925889386,0.0243551287293003,92,-3.35200075735926
"fixed_no_var",-0.0345462231521272,0.0212043139727225,0.11891926752231,93,-3.54413084168267
"fixed_no_var",-0.0920356439383059,0.0355473415579817,0.0175352311141851,94,-2.5636567521188
"fixed_no_var",-0.0353242627361682,0.01408927094076,0.0209105793147134,95,-2.37781606913394
"fixed_no_var",-0.0427895634815575,0.015601806540991,0.0125488282865465,96,-3.62455687636624
"fixed_no_var",-0.071829021300572,0.0330670516884221,0.0420361559372545,97,-2.80994883028277
"fixed_no_var",-0.0352752126102562,0.0205957593740831,0.10222152470094,98,-2.83743569753797
"fixed_no_var",-0.0185866570363206,0.0133392454116388,0.178797861528281,99,-2.12737589652156
